Id,Predicted
0,1
1,1
2,0
3,1
4,0
5,0
6,0
7,0
8,1
9,1
10,0
11,1
12,1
13,0
14,0
15,0
16,0
17,1
18,0
19,0
20,1
21,0
22,0
23,1
24,1
25,0
26,0
27,0
28,1
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,1
39,1
40,0
41,1
42,0
43,0
44,0
45,1
46,1
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,1
55,1
56,0
57,0
58,0
59,0
60,0
61,1
62,0
63,1
64,1
65,0
66,0
67,0
68,0
69,0
70,0
71,1
72,0
73,0
74,1
75,0
76,1
77,0
78,0
79,0
80,0
81,0
82,1
83,1
84,1
85,0
86,1
87,0
88,1
89,1
90,0
91,1
92,0
93,1
94,0
95,1
96,1
97,1
98,1
99,0
100,1
101,0
102,0
103,0
104,0
105,0
106,1
107,0
108,0
109,0
110,0
111,1
112,1
113,0
114,0
115,1
116,1
117,0
118,0
119,0
120,1
121,1
122,0
123,0
124,1
125,0
126,0
127,1
128,1
129,0
130,0
131,0
132,0
133,1
134,1
135,1
136,0
137,1
138,0
139,0
140,0
141,0
142,1
143,1
144,0
145,0
146,0
147,1
148,0
149,0
150,0
151,1
152,0
153,0
154,0
155,0
156,0
157,0
158,1
159,1
160,0
161,0
162,1
163,1
164,0
165,0
166,0
167,1
168,0
169,0
170,1
171,0
172,0
173,0
174,1
175,0
176,0
177,0
178,0
179,1
180,0
181,1
182,0
183,1
184,1
185,0
186,1
187,1
188,0
189,1
190,0
191,0
192,0
193,1
194,0
195,0
196,0
197,1
198,1
199,0
200,1
201,1
202,1
203,0
204,0
205,0
206,1
207,1
208,1
209,0
210,0
211,1
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,1
220,1
221,0
222,1
223,0
224,0
225,1
226,0
227,0
228,0
229,0
230,0
231,1
232,1
233,0
234,0
235,0
236,1
237,1
238,0
239,1
240,1
241,0
242,1
243,0
244,1
245,0
246,1
247,1
248,1
249,0
250,1
251,1
252,0
253,1
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,1
262,0
263,0
264,0
265,1
266,1
267,0
268,0
269,0
270,0
271,0
272,1
273,0
274,0
275,1
276,1
277,0
278,1
279,0
280,1
281,0
282,0
283,1
284,1
285,0
286,1
287,0
288,1
289,1
290,1
291,0
292,1
293,0
294,0
295,0
296,0
297,0
298,1
299,1
300,0
301,1
302,0
303,0
304,1
305,0
306,1
307,1
308,0
309,1
310,0
311,0
312,0
313,0
314,0
315,0
316,1
317,1
318,0
319,1
320,1
321,0
322,0
323,0
324,1
325,0
326,0
327,0
328,1
329,0
330,0
331,1
332,1
333,0
334,0
335,1
336,0
337,0
338,1
339,0
340,1
341,1
342,0
343,1
344,0
345,0
346,1
347,0
348,1
349,0
350,1
351,0
352,1
353,0
354,0
355,0
356,0
357,0
358,1
359,0
360,1
361,0
362,0
363,1
364,0
365,0
366,1
367,1
368,0
369,0
370,1
371,0
372,0
373,0
374,1
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,1
384,0
385,0
386,0
387,0
388,1
389,1
390,1
391,0
392,0
393,1
394,0
395,0
396,0
397,0
398,1
399,1
400,0
401,0
402,1
403,0
404,0
405,0
406,0
407,1
408,0
409,0
410,0
411,0
412,1
413,0
414,0
415,1
416,0
417,0
418,0
419,0
420,1
421,1
422,0
423,1
424,0
425,1
426,0
427,1
428,1
429,1
430,0
431,0
432,1
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,1
444,0
445,1
446,0
447,0
448,1
449,1
450,0
451,1
452,0
453,1
454,0
455,1
456,0
457,0
458,0
459,0
460,0
461,0
462,1
463,0
464,0
465,1
466,1
467,1
468,0
469,1
470,1
471,0
472,1
473,0
474,0
475,0
476,0
477,0
478,1
479,0
480,0
481,1
482,1
483,0
484,1
485,1
486,0
487,1
488,0
489,0
490,0
491,1
492,0
493,0
494,0
495,0
496,1
497,1
498,1
499,1
500,0
501,0
502,1
503,0
504,0
505,0
506,0
507,1
508,0
509,0
510,0
511,1
512,0
513,0
514,0
515,0
516,0
517,1
518,1
519,0
520,0
521,0
522,1
523,0
524,0
525,0
526,1
527,0
528,0
529,0
530,0
531,0
532,0
533,1
534,0
535,0
536,1
537,1
538,1
539,0
540,1
541,0
542,0
543,1
544,1
545,0
546,0
547,0
548,0
549,0
550,0
551,1
552,1
553,1
554,1
555,0
556,1
557,0
558,1
559,0
560,0
561,0
562,0
563,0
564,0
565,1
566,0
567,1
568,1
569,1
570,0
571,1
572,0
573,0
574,1
575,0
576,0
577,1
578,0
579,1
580,1
581,1
582,0
583,0
584,1
585,0
586,0
587,1
588,0
589,1
590,0
591,0
592,0
593,1
594,0
595,0
596,0
597,1
598,1
599,0
600,1
601,1
602,1
603,1
604,1
605,1
606,1
607,1
608,0
609,1
610,1
611,1
612,1
613,0
614,1
615,1
616,1
617,0
618,1
619,0
620,0
621,1
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,1
632,1
633,1
634,0
635,0
636,1
637,0
638,1
639,0
640,0
641,1
642,0
643,1
644,0
645,0
646,1
647,0
648,0
649,1
650,0
651,1
652,1
653,1
654,0
655,1
656,1
657,0
658,1
659,0
660,0
661,0
662,0
663,1
664,0
665,0
666,1
667,0
668,1
669,1
670,0
671,0
672,0
673,1
674,0
675,0
676,0
677,1
678,1
679,0
680,0
681,0
682,0
683,0
684,1
685,0
686,0
687,0
688,0
689,0
690,0
691,1
692,0
693,0
694,1
695,1
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,1
704,1
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,1
713,0
714,0
715,0
716,1
717,1
718,1
719,1
720,0
721,1
722,1
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,1
731,1
732,1
733,0
734,1
735,0
736,1
737,1
738,0
739,0
740,1
741,0
742,0
743,0
744,1
745,0
746,1
747,0
748,1
749,0
750,1
751,0
752,0
753,0
754,1
755,1
756,1
757,0
758,0
759,1
760,1
761,1
762,0
763,0
764,1
765,0
766,0
767,0
768,1
769,0
770,1
771,1
772,0
773,0
774,0
775,0
776,0
777,1
778,0
779,1
780,1
781,1
782,0
783,0
784,0
785,1
786,1
787,1
788,0
789,0
790,0
791,0
792,1
793,1
794,0
795,1
796,1
797,1
798,0
799,0
800,1
801,0
802,0
803,0
804,1
805,1
806,0
807,1
808,0
809,0
810,0
811,0
