Id,Predicted
0,0.9999957
1,0.66894823
2,0.011779517
3,1.0
4,0.2992423
5,0.07146817
6,0.01724576
7,0.1053701
8,0.9995961
9,0.6976922
10,0.054448288
11,0.9999283
12,0.66666824
13,0.022482118
14,0.00135838
15,0.025539288
16,0.06981981
17,0.98860186
18,0.250506
19,0.33447376
20,0.6667754
21,0.33434784
22,0.06888515
23,1.0
24,0.9999606
25,0.33424497
26,0.07381559
27,0.0053119063
28,0.906147
29,0.07624528
30,0.0076278946
31,0.33435035
32,0.66587543
33,0.33461094
34,0.33220115
35,0.078417085
36,0.8599128
37,0.3328162
38,0.95815563
39,0.99999887
40,0.0034035444
41,0.99999624
42,0.33231992
43,0.03915173
44,0.2919422
45,0.66915935
46,0.92627007
47,0.083162904
48,0.07337743
49,0.07651112
50,0.013243586
51,0.16148086
52,0.016251236
53,0.011265586
54,0.5781891
55,0.45028362
56,0.012972225
57,0.07565304
58,0.078987725
59,0.64089346
60,0.012040039
61,0.6711351
62,0.013241152
63,0.66666704
64,0.6668029
65,0.24268669
66,0.33452788
67,0.3853918
68,1.5467405e-05
69,0.19422169
70,0.33445886
71,0.6701047
72,0.20235293
73,0.332792
74,1.0
75,0.006427238
76,0.9932403
77,0.33461535
78,0.05053088
79,0.0021500587
80,0.33431137
81,0.013555676
82,0.99641967
83,0.66673446
84,0.84640473
85,0.20583248
86,0.85766417
87,0.012483239
88,0.73101044
89,0.99999875
90,0.24223047
91,0.9794242
92,0.27166826
93,0.99999875
94,0.33296636
95,0.984381
96,0.6612942
97,0.528579
98,0.66667
99,0.33428916
100,1.0
101,0.0007937352
102,0.33417425
103,0.3343595
104,0.0026075244
105,0.01220872
106,0.7448539
107,0.33361253
108,0.33461976
109,0.33319286
110,0.27448204
111,0.66922206
112,0.7361014
113,0.07273522
114,0.5843588
115,0.6675908
116,0.66666985
117,0.0048957765
118,0.068761446
119,0.0014449159
120,1.0
121,0.7396622
122,0.3343201
123,0.013046622
124,0.9695273
125,0.35583583
126,0.08493035
127,0.66672677
128,0.6814992
129,0.071570285
130,0.0144732
131,0.3509015
